"Reference","Qty","Value","Footprint"
"C1,C2,C7,C9,C12,C24,C29","7","22u 50V","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm"
"R7,R8,R13,R16,R20,R39","6","100k","Library:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC"
"R6,R21,R23,R24,R31","5","1Meg","Library:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC"
"R4,R5,R11,R14,R18","5","1.5k","Library:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC"
"R12,R29,R33,R34","4","220k","Library:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC"
"R9,R40,R41","3","10k 3W","Library:R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal_TC"
"R2,R25,R32","3","10k",""
"D3,D4,D5","3","UF4007",""
"C18,C23,C25","3","22u 450V","Capacitor_THT:CP_Radial_D12.5mm_P5.00mm"
"C8,C14,C19","3","22n 630V","Library:C_Axial_L17.0mm_D6.5mm_P20.00mm_Horizontal_TC"
"U5,U6","2","6V6","Valve:Valve_Octal"
"RV1,RV5","2","250k Log",""
"R36,R38","2","470r 3W",""
"R27,R30","2","56k","Library:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC"
"R3,R45","2","1Meg",""
"C20,C21","2","47n 630V","Library:C_Axial_L19.0mm_D7.5mm_P25.00mm_Horizontal_TC"
"C15,C17","2","22n 630V","Library:C_Rect_L11.0mm_W5.1mm_P10.00mm_MKT_TC"
"C4,C22","2","100n 630V","Library:C_Axial_L22.0mm_D10.5mm_P27.50mm_Horizontal_TC"
"TP2","1","GND","TestPoint:TestPoint_Keystone_5005-5009_Compact"
"TP1","1","BiasTP","TestPoint:TestPoint_Keystone_5005-5009_Compact"
"RV7","1","22k Lin","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical"
"RV6","1","3M RLog",""
"RV4","1","250k Lin",""
"RV3","1","100k Log",""
"RV2","1","1M Log",""
"R48","1","1r 1%","Library:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC"
"R46","1","220k 3W","Library:R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal_TC"
"R44","1","680r 5W",""
"R43","1","1k 3W",""
"R42","1","1k 3W","Library:R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal_TC"
"R37","1","100k 1W","Library:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC"
"R35","1","10k","Library:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC"
"R28","1","10k 1W","Library:R_Axial_DIN0617_L17.0mm_D6.0mm_P20.32mm_Horizontal_TC"
"R26","1","1k","Library:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC"
"R22","1","2.7k","Library:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC"
"R19","1","47r","Library:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC"
"R17","1","470k","Library:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC"
"R15","1","3.3M","Library:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC"
"R10","1","6.8k","Library:R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal_TC"
"D2","1","Red","LED_THT:LED_D5.0mm"
"D1","1","UF4007","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal"
"CN1","1","JJ CanCap",""
"C27","1","100p","Library:C_Disc_D10.5mm_W5.0mm_P7.50mm_TC"
"C16","1","100p 2kV",""
"C13","1","10n 630V","Library:C_Rect_L11.0mm_W5.1mm_P10.00mm_MKT_TC"
"C11","1","3.3n 630V","Library:C_Rect_L16.5mm_W6.0mm_P15.00mm_MKT_TC"
"C10","1","10p 500V","Library:C_Disc_D10.5mm_W5.0mm_P7.50mm_TC"
"C6","1","470p 500V","Library:C_Disc_D7.5mm_W5.0mm_P7.50mm_TC"
"C5","1","47n 630V","Library:C_Axial_L17.0mm_D6.5mm_P20.00mm_Horizontal_TC"
"C3","1","250p 500V","Library:C_Disc_D10.5mm_W5.0mm_P7.50mm_TC"
