Reference,Qty,Value
"R3,R6,R21,R23,R24,R31,R45",7,1Meg
"C1,C2,C7,C9,C12,C24,C29",7,22u 50V
"R7,R8,R13,R16,R20,R39",6,100k
"R4,R5,R11,R14,R18",5,1.5k
"C8,C14,C15,C17,C19",5,22n 630V
"R12,R29,R33,R34",4,220k
"R2,R25,R32,R35",4,10k
"D1,D3,D4,D5",4,UF4007
"R9,R40,R41",3,10k 3W
"C18,C23,C25",3,22u 450V
"C5,C20,C21",3,47n 630V
"U5,U6",2,6V6
"RV1,RV5",2,250k Log
"R42,R43",2,1k 3W
"R36,R38",2,470r 3W
"R27,R30",2,56k
"C4,C22",2,100n 630V
TP2,1,GND
TP1,1,BiasTP
RV7,1,22k Lin
RV6,1,3M RLog
RV4,1,250k Lin
RV3,1,100k Log
RV2,1,1M Log
R48,1,1r 1%
R46,1,220k 3W
R44,1,680r 5W
R37,1,100k 1W
R28,1,10k 1W
R26,1,1k
R22,1,2.7k
R19,1,47r
R17,1,470k
R15,1,3.3M
R10,1,6.8k
D2,1,Red
CN1,1,JJ CanCap
C27,1,100p
C16,1,100p 2kV
C13,1,10n 630V
C11,1,3.3n 630V
C10,1,10p 500V
C6,1,470p 500V
C3,1,250p 500V
